trial,genotype,yld
HN96b,G001,657
HN96b,G002,407
HN96b,G003,574
HN96b,G004,343
HN96b,G005,496
HN96b,G006,336
HN96b,G007,578
HN96b,G008,531
HN96b,G009,601
HN96b,G010,669
HN96b,G011,353
HN96b,G012,254
HN96b,G013,604
HN96b,G014,708
HN96b,G015,346
HN96b,G016,402
HN96b,G017,370
HN96b,G018,694
HN96b,G019,843
HN96b,G020,519
HN96b,G021,403
HN96b,G022,391
HN96b,G023,493
HN96b,G024,286
HN96b,G025,634
HN96b,G026,478
HN96b,G027,398
HN96b,G028,591
HN96b,G029,375
HN96b,G030,667
HN96b,G031,476
HN96b,G032,261
HN96b,G033,589
HN96b,G034,568
HN96b,G035,409
HN96b,G036,424
HN96b,G037,518
HN96b,G038,303
HN96b,G039,519
HN96b,G040,363
HN96b,G041,655
HN96b,G042,691
HN96b,G043,306
HN96b,G044,306
HN96b,G045,667
HN96b,G046,408
HN96b,G047,582
HN96b,G048,624
HN96b,G049,348
HN96b,G050,705
HN96b,G051,656
HN96b,G052,386
HN96b,G053,457
HN96b,G054,490
HN96b,G055,602
HN96b,G056,675
HN96b,G057,531
HN96b,G058,403
HN96b,G059,200
HN96b,G060,519
HN96b,G061,790
HN96b,G062,640
HN96b,G063,468
HN96b,G064,169
HN96b,G065,619
HN96b,G066,570
HN96b,G067,478
HN96b,G068,689
HN96b,G069,655
HN96b,G070,548
HN96b,G071,240
HN96b,G072,606
HN96b,G073,161
HN96b,G074,254
HN96b,G075,601
HN96b,G076,101
HN96b,G077,644
HN96b,G078,382
HN96b,G079,407
HN96b,G080,237
HN96b,G081,278
HN96b,G082,597
HN96b,G083,699
HN96b,G084,392
HN96b,G085,472
HN96b,G086,266
HN96b,G087,362
HN96b,G088,354
HN96b,G089,522
HN96b,G090,376
HN96b,G091,449
HN96b,G092,352
HN96b,G093,109
HN96b,G094,575
HN96b,G095,273
HN96b,G096,503
HN96b,G097,300
HN96b,G098,446
HN96b,G099,415
HN96b,G100,460
HN96b,G101,627
HN96b,G102,228
HN96b,G103,534
HN96b,G104,458
HN96b,G105,593
HN96b,G106,517
HN96b,G107,494
HN96b,G108,618
HN96b,G109,436
HN96b,G110,392
HN96b,G111,464
HN96b,G112,447
HN96b,G113,149
HN96b,G114,728
HN96b,G115,514
HN96b,G116,793
HN96b,G117,149
HN96b,G118,316
HN96b,G119,641
HN96b,G120,357
HN96b,G121,688
HN96b,G122,632
HN96b,G123,678
HN96b,G124,515
HN96b,G125,559
HN96b,G126,520
HN96b,G127,497
HN96b,G128,543
HN96b,G129,303
HN96b,G130,598
HN96b,G131,613
HN96b,G132,480
HN96b,G133,545
HN96b,G134,524
HN96b,G135,572
HN96b,G136,563
HN96b,G137,760
HN96b,G138,331
HN96b,G139,459
HN96b,G140,402
HN96b,G141,381
HN96b,G142,626
HN96b,G143,391
HN96b,G144,428
HN96b,G145,639
HN96b,G146,680
HN96b,G147,628
HN96b,G148,533
HN96b,G149,501
HN96b,G150,473
